Nom Com,Code Iris,Classement de SCORE GLOBAL region 1,Nom Iris,Population,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,,DEPARTEMENTS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,REGIONS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES
Augy-sur-Aubois,180170000,21 729,Augy-sur-Aubois,291,94,82,76,72,129,78,110,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujac,300220000,31 453,Aujac,179,85,75,71,66,115,72,99,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujac,170230000,15 766,Aujac,359,100,92,102,94,104,99,101,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujan-Mournède,320150000,16 903,Aujan-Mournède,89,99,0,89,66,173,59,138,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujargues,300230000,28 184,Aujargues,876,88,103,78,80,95,86,90,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujeurres,520270000,45 056,Aujeurres,88,71,0,71,45,119,47,94,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aujols,460100000,35 828,Aujols,363,82,114,69,67,85,84,79,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulan,260180000,49 242,Aulan,11,32,0,0,102,44,0,64,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulas,300240000,25 784,Aulas,487,90,92,103,50,95,100,80,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulhat-Flat,631600000,42 934,Aulhat-Flat,908,74,104,46,72,89,65,83,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aullène,2A0240000,26 899,Aullène,186,89,87,74,52,124,78,100,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnat,630190000,10 883,Aulnat,4 027,106,88,107,91,121,101,111,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay,860130000,22 891,Aulnay,99,93,86,61,51,148,70,116,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay,170240000,14 385,Aulnay,1 394,101,88,91,64,136,90,112,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay,100170000,28 613,Aulnay,129,88,101,52,61,131,68,107,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-l'Aître,510220000,45 267,Aulnay-l'Aître,170,70,105,49,46,87,67,73,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-la-Rivière,450140000,29 064,Aulnay-la-Rivière,510,87,113,57,77,110,75,99,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050903,21 540,Anatole France 3,2 703,94,75,82,96,114,80,108,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050902,19 777,Anatole France 2,3 044,96,75,97,110,97,90,101,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050901,35 843,Anatole France 1,2 140,82,75,53,78,115,60,103,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050805,2 114,Ambourget 5,1 829,127,75,140,74,167,118,136,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050804,8 166,Ambourget 4,1 735,110,75,110,86,140,98,122,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050803,17 946,Ambourget 3,1 938,97,75,94,96,113,88,107,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050802,16 208,Ambourget 2,2 851,99,75,88,104,121,84,115,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050801,22 731,Ambourget 1,2 565,93,75,81,102,109,79,107,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050703,6 143,Gros Saule 3,3 156,114,75,120,107,132,105,123,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050702,15 242,Gros Saule 2,2 539,100,75,98,92,120,90,111,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050701,26 198,Gros Saule 1,1 278,90,75,77,90,109,77,103,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050604,10 614,Bourg 4,2 294,106,75,107,88,131,96,117,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050603,9 067,Bourg 3,1 930,109,75,107,103,131,96,121,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050602,20 400,Bourg 2,2 738,95,75,83,90,120,80,110,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050601,20 031,Bourg 1,2 656,95,75,86,88,118,82,108,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050503,19 444,Emile Zola 3,2 044,96,75,87,91,117,83,109,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050502,17 305,Emile Zola 2,2 096,98,75,78,104,127,77,119,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050501,20 449,Emile Zola 1,2 171,95,75,97,121,90,90,100,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050403,34 306,Parc 3,2 381,83,75,61,92,105,65,101,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050402,23 561,Parc 2,2 516,92,75,80,100,109,78,106,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050401,9 944,Parc 1,3 265,107,75,113,113,115,100,115,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050304,27 594,Nonneville 4,2 033,89,75,60,87,125,65,112,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050303,17 505,Nonneville 3,1 919,98,75,76,90,135,76,120,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050302,25 720,Nonneville 2,2 081,90,75,75,79,119,75,105,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050301,14 866,Nonneville 1,2 126,101,75,92,95,125,86,115,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050209,16 332,Nord 9,1 986,99,75,91,98,121,85,113,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050208,7 432,Nord 8,1 705,112,75,114,108,129,101,122,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050207,19 844,Nord 7,1 763,96,75,58,106,139,63,128,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050206,7 081,Nord 6,5 095,112,75,96,130,139,89,136,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050204,5 034,Nord 4,4 748,117,75,102,128,147,93,141,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050203,16 393,Nord 3,2 168,99,75,79,108,127,77,121,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050202,5 064,Nord 2,2 796,117,75,122,125,129,106,128,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050201,502,Nord 1,143,142,75,151,108,183,125,158,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050103,28 419,Fontaine des Pres 3,2 142,88,75,63,95,116,67,109,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050102,33 429,Fontaine des Pres 2,2 241,84,75,60,93,108,65,103,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sous-Bois,930050101,6 990,Fontaine des Pres 1,1 848,112,75,115,104,133,101,123,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sur-Iton,270230000,38 052,Aulnay-sur-Iton,710,80,117,59,61,91,79,81,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sur-Marne,510230000,43 878,Aulnay-sur-Marne,254,73,112,58,71,69,76,69,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnay-sur-Mauldre,780330000,30 877,Aulnay-sur-Mauldre,1 143,86,120,68,76,92,85,87,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnois,880170000,40 452,Aulnois,158,77,96,58,48,102,71,84,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnois-en-Perthois,550150000,26 119,Aulnois-en-Perthois,511,90,98,102,75,81,101,79,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnois-sous-Laon,20370000,27 247,Aulnois-sous-Laon,1 440,89,104,88,88,83,93,85,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnois-sur-Seille,570400000,35 751,Aulnois-sur-Seille,278,82,105,83,89,65,90,73,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoy,770130000,26 329,Aulnoy,357,90,108,71,82,103,83,96,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoye-Aymeries,590330105,4 740,Quartier Vallourec,1 536,118,85,119,102,141,107,128,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoye-Aymeries,590330104,2 839,Centre Ville,1 498,124,85,172,119,97,143,104,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoye-Aymeries,590330103,5 191,Fache du Bouvier+Aymeries,1 788,116,85,146,88,116,126,107,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoye-Aymeries,590330102,18 010,Fache de la Chapelle+Zac d'Aymeries,2 531,97,85,102,89,103,96,98,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoye-Aymeries,590330101,21 328,Quartier Cheminots,1 503,94,85,91,100,99,89,99,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoy-lez-Valenciennes,590320103,14 490,Est,2 844,101,92,101,129,92,98,105,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoy-lez-Valenciennes,590320102,2 690,Nord Ouest,1 947,124,92,147,92,134,129,120,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoy-lez-Valenciennes,590320101,1 199,Sud,2 525,133,92,148,242,84,130,137,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulnoy-sur-Aube,520280000,48 576,Aulnoy-sur-Aube,50,56,0,57,55,84,38,74,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulon,650460000,46 646,Aulon,84,67,0,33,91,123,22,112,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulon,310230000,18 389,Aulon,312,97,94,84,42,139,87,107,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulon,230110000,21 194,Aulon,156,94,94,42,75,156,59,129,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulos,90280000,42 505,Aulos,54,75,0,67,120,98,45,105,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Ault,800390000,3 203,Ault,1 498,122,93,122,69,164,112,132,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulus-les-Bains,90290000,29 732,Aulus-les-Bains,155,87,86,95,65,90,92,82,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aulx-lès-Cromary,700360000,46 854,Aulx-lès-Cromary,164,67,105,38,84,68,60,73,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumagne,170250000,16 441,Aumagne,710,99,96,99,67,116,98,100,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumale,760350000,2 221,Aumale,2 100,127,92,148,80,146,130,124,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumâtre,800400000,5 881,Aumâtre,181,115,98,96,103,148,97,133,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumelas,340160000,38 250,Aumelas,524,79,114,79,48,78,91,68,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Auménancourt,510250000,38 670,Auménancourt,1 028,79,111,61,86,78,77,81,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumerval,620580000,29 893,Aumerval,197,87,102,86,72,88,91,82,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumes,340170000,24 798,Aumes,490,91,99,93,64,98,95,87,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumessas,300250000,27 365,Aumessas,230,89,78,79,46,126,78,99,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumetz,570410000,20 670,Aumetz,2 311,95,102,92,84,99,96,94,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumeville-Lestre,500220000,5 319,Aumeville-Lestre,120,116,83,125,66,149,111,122,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumont,800410000,31 096,Aumont,141,86,100,62,66,112,75,97,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumont,390280000,30 298,Aumont,460,86,97,73,67,104,81,92,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumont-en-Halatte,600280000,13 495,Aumont-en-Halatte,480,102,194,84,57,97,121,84,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aumur,390290000,29 605,Aumur,367,87,100,69,76,103,79,94,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aunac-sur-Charente,160230000,23 735,Aunac-sur-Charente,616,92,86,74,79,119,78,106,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aunat,110190000,41 081,Aunat,65,76,0,57,28,158,38,115,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
Aunay-en-Bazois,580170000,13 655,Aunay-en-Bazois,229,102,87,95,54,141,92,112,,ALPES MARITIMES,93.39,88.188,86.8,85.878,106.398,87.24,99.56,PROVENCE ALPES COTE D AZUR,92.88220758,91.65197694,87.39621087,87.39621087,101.764827,88.80395387,96.96911038
